row_type,record_name,n_signals,fs_hz,n_samples,fmt,gain,bit_resolution,units,description,raw_line
record,JS00119,12,500.0,5000,,,,,,
signal,JS00119,,,,16+24,1000.0,,16,I,JS00119.mat 16+24 1000/mV 16 0 205 -22229 0 I
signal,JS00119,,,,16+24,1000.0,,16,II,JS00119.mat 16+24 1000/mV 16 0 234 12242 0 II
signal,JS00119,,,,16+24,1000.0,,16,III,JS00119.mat 16+24 1000/mV 16 0 29 -31085 0 III
signal,JS00119,,,,16+24,1000.0,,16,aVR,JS00119.mat 16+24 1000/mV 16 0 -220 -21713 0 aVR
signal,JS00119,,,,16+24,1000.0,,16,aVL,JS00119.mat 16+24 1000/mV 16 0 88 31198 0 aVL
signal,JS00119,,,,16+24,1000.0,,16,aVF,JS00119.mat 16+24 1000/mV 16 0 132 -15425 0 aVF
signal,JS00119,,,,16+24,1000.0,,16,V1,JS00119.mat 16+24 1000/mV 16 0 166 -16661 0 V1
signal,JS00119,,,,16+24,1000.0,,16,V2,JS00119.mat 16+24 1000/mV 16 0 122 -27907 0 V2
signal,JS00119,,,,16+24,1000.0,,16,V3,JS00119.mat 16+24 1000/mV 16 0 146 24448 0 V3
signal,JS00119,,,,16+24,1000.0,,16,V4,JS00119.mat 16+24 1000/mV 16 0 20 -9827 0 V4
signal,JS00119,,,,16+24,1000.0,,16,V5,JS00119.mat 16+24 1000/mV 16 0 -122 -6030 0 V5
signal,JS00119,,,,16+24,1000.0,,16,V6,JS00119.mat 16+24 1000/mV 16 0 -205 20683 0 V6
